Iteration,Erreur
0,9.891099e-05
1,9.886640e-05
2,9.882183e-05
3,9.877728e-05
4,9.873275e-05
5,9.868823e-05
6,9.864374e-05
7,9.859927e-05
8,9.855481e-05
9,9.851038e-05
10,9.846596e-05
11,9.842156e-05
12,9.837719e-05
13,9.833283e-05
14,9.828849e-05
15,9.824417e-05
16,9.819987e-05
17,9.815559e-05
18,9.811133e-05
19,9.806709e-05
20,9.802287e-05
21,9.797867e-05
22,9.793449e-05
23,9.789032e-05
24,9.784618e-05
25,9.780206e-05
26,9.775795e-05
27,9.771387e-05
28,9.766980e-05
29,9.762575e-05
30,9.758173e-05
31,9.753772e-05
32,9.749373e-05
33,9.744976e-05
34,9.740581e-05
35,9.736188e-05
36,9.731797e-05
37,9.727408e-05
38,9.723020e-05
39,9.718635e-05
40,9.714252e-05
41,9.709870e-05
42,9.705490e-05
43,9.701113e-05
44,9.696737e-05
45,9.692363e-05
46,9.687991e-05
47,9.683621e-05
48,9.679253e-05
49,9.674886e-05
50,9.670522e-05
51,9.666160e-05
52,9.661799e-05
53,9.657440e-05
54,9.653084e-05
55,9.648729e-05
56,9.644376e-05
57,9.640024e-05
58,9.635675e-05
59,9.631328e-05
60,9.626982e-05
61,9.622639e-05
62,9.618297e-05
63,9.613957e-05
64,9.609619e-05
65,9.605283e-05
66,9.600949e-05
67,9.596617e-05
68,9.592286e-05
69,9.587958e-05
70,9.583631e-05
71,9.579306e-05
72,9.574983e-05
73,9.570662e-05
74,9.566342e-05
75,9.562025e-05
76,9.557709e-05
77,9.553396e-05
78,9.549084e-05
79,9.544774e-05
80,9.540465e-05
81,9.536159e-05
82,9.531854e-05
83,9.527552e-05
84,9.523251e-05
85,9.518952e-05
86,9.514655e-05
87,9.510359e-05
88,9.506066e-05
89,9.501774e-05
90,9.497484e-05
91,9.493196e-05
92,9.488910e-05
93,9.484625e-05
94,9.480342e-05
95,9.476062e-05
96,9.471783e-05
97,9.467505e-05
98,9.463230e-05
99,9.458956e-05
100,9.454684e-05
101,9.450414e-05
102,9.446146e-05
103,9.441880e-05
104,9.437615e-05
105,9.433352e-05
106,9.429091e-05
107,9.424832e-05
108,9.420575e-05
109,9.416319e-05
110,9.412065e-05
111,9.407813e-05
112,9.403562e-05
113,9.399314e-05
114,9.395067e-05
115,9.390822e-05
116,9.386579e-05
117,9.382337e-05
118,9.378098e-05
119,9.373860e-05
120,9.369623e-05
121,9.365389e-05
122,9.361156e-05
123,9.356925e-05
124,9.352696e-05
125,9.348469e-05
126,9.344243e-05
127,9.340019e-05
128,9.335797e-05
129,9.331577e-05
130,9.327358e-05
131,9.323141e-05
132,9.318926e-05
133,9.314712e-05
