x,u
3.500000e-01,1.187076e+00
3.550000e-01,1.181036e+00
3.600000e-01,1.175199e+00
3.650000e-01,1.169557e+00
3.700000e-01,1.164102e+00
3.750000e-01,1.158830e+00
3.800000e-01,1.153732e+00
3.850000e-01,1.148803e+00
3.900000e-01,1.144037e+00
3.950000e-01,1.139428e+00
4.000000e-01,1.134970e+00
4.050000e-01,1.130659e+00
4.100000e-01,1.126489e+00
4.150000e-01,1.122455e+00
4.200000e-01,1.118553e+00
4.250000e-01,1.114778e+00
4.300000e-01,1.111125e+00
4.350000e-01,1.107591e+00
4.400000e-01,1.104172e+00
4.450000e-01,1.100863e+00
4.500000e-01,1.097661e+00
4.550000e-01,1.094562e+00
4.600000e-01,1.091563e+00
4.650000e-01,1.088661e+00
4.700000e-01,1.085851e+00
4.750000e-01,1.083132e+00
4.800000e-01,1.080500e+00
4.850000e-01,1.077952e+00
4.900000e-01,1.075486e+00
4.950000e-01,1.073098e+00
5.000000e-01,1.070786e+00
5.050000e-01,1.068548e+00
5.100000e-01,1.066381e+00
5.150000e-01,1.064283e+00
5.200000e-01,1.062252e+00
5.250000e-01,1.060285e+00
5.300000e-01,1.058380e+00
5.350000e-01,1.056535e+00
5.400000e-01,1.054749e+00
5.450000e-01,1.053019e+00
5.500000e-01,1.051344e+00
5.550000e-01,1.049721e+00
5.600000e-01,1.048150e+00
5.650000e-01,1.046628e+00
5.700000e-01,1.045153e+00
5.750000e-01,1.043725e+00
5.800000e-01,1.042342e+00
5.850000e-01,1.041002e+00
5.900000e-01,1.039704e+00
5.950000e-01,1.038446e+00
6.000000e-01,1.037228e+00
6.050000e-01,1.036047e+00
6.100000e-01,1.034904e+00
6.150000e-01,1.033795e+00
6.200000e-01,1.032722e+00
6.250000e-01,1.031681e+00
6.300000e-01,1.030673e+00
6.350000e-01,1.029696e+00
6.400000e-01,1.028749e+00
6.450000e-01,1.027831e+00
6.500000e-01,1.026941e+00
6.550000e-01,1.026079e+00
6.600000e-01,1.025243e+00
6.650000e-01,1.024433e+00
6.700000e-01,1.023647e+00
6.750000e-01,1.022885e+00
6.800000e-01,1.022147e+00
6.850000e-01,1.021430e+00
6.900000e-01,1.020736e+00
6.950000e-01,1.020062e+00
7.000000e-01,1.019409e+00
7.050000e-01,1.018775e+00
7.100000e-01,1.018160e+00
7.150000e-01,1.017564e+00
7.200000e-01,1.016985e+00
7.250000e-01,1.016424e+00
7.300000e-01,1.015878e+00
7.350000e-01,1.015349e+00
7.400000e-01,1.014836e+00
7.450000e-01,1.014337e+00
7.500000e-01,1.013853e+00
7.550000e-01,1.013382e+00
7.600000e-01,1.012925e+00
7.650000e-01,1.012481e+00
7.700000e-01,1.012050e+00
7.750000e-01,1.011631e+00
7.800000e-01,1.011223e+00
7.850000e-01,1.010827e+00
7.900000e-01,1.010441e+00
7.950000e-01,1.010066e+00
8.000000e-01,1.009701e+00
8.050000e-01,1.009346e+00
8.100000e-01,1.009000e+00
8.150000e-01,1.008664e+00
8.200000e-01,1.008336e+00
8.250000e-01,1.008016e+00
8.300000e-01,1.007704e+00
8.350000e-01,1.007400e+00
8.400000e-01,1.007104e+00
8.450000e-01,1.006814e+00
8.500000e-01,1.006532e+00
8.550000e-01,1.006255e+00
8.600000e-01,1.005986e+00
8.650000e-01,1.005722e+00
8.700000e-01,1.005464e+00
8.750000e-01,1.005211e+00
8.800000e-01,1.004964e+00
8.850000e-01,1.004721e+00
8.900000e-01,1.004483e+00
8.950000e-01,1.004250e+00
9.000000e-01,1.004021e+00
9.050000e-01,1.003796e+00
9.100000e-01,1.003575e+00
9.150000e-01,1.003357e+00
9.200000e-01,1.003142e+00
9.250000e-01,1.002931e+00
9.300000e-01,1.002723e+00
9.350000e-01,1.002517e+00
9.400000e-01,1.002314e+00
9.450000e-01,1.002113e+00
9.500000e-01,1.001915e+00
9.550000e-01,1.001718e+00
9.600000e-01,1.001523e+00
9.650000e-01,1.001329e+00
9.700000e-01,1.001137e+00
9.750000e-01,1.000946e+00
9.800000e-01,1.000755e+00
9.850000e-01,1.000566e+00
9.900000e-01,1.000377e+00
9.950000e-01,1.000188e+00
1.000000e+00,1.000000e+00
