x,u
0.000000e+00,1.776565e+00
5.000000e-03,1.776565e+00
1.000000e-02,1.776371e+00
1.500000e-02,1.775980e+00
2.000000e-02,1.775392e+00
2.500000e-02,1.774605e+00
3.000000e-02,1.773614e+00
3.500000e-02,1.772415e+00
4.000000e-02,1.771003e+00
4.500000e-02,1.769373e+00
5.000000e-02,1.767516e+00
5.500000e-02,1.765425e+00
6.000000e-02,1.763090e+00
6.500000e-02,1.760502e+00
7.000000e-02,1.757649e+00
7.500000e-02,1.754519e+00
8.000000e-02,1.751099e+00
8.500000e-02,1.747373e+00
9.000000e-02,1.743325e+00
9.500000e-02,1.738938e+00
1.000000e-01,1.734194e+00
1.050000e-01,1.729071e+00
1.100000e-01,1.723548e+00
1.150000e-01,1.717602e+00
1.200000e-01,1.711206e+00
1.250000e-01,1.704334e+00
1.300000e-01,1.696956e+00
1.350000e-01,1.689041e+00
1.400000e-01,1.680556e+00
1.450000e-01,1.671465e+00
1.500000e-01,1.661729e+00
1.550000e-01,1.651308e+00
1.600000e-01,1.640159e+00
1.650000e-01,1.628234e+00
1.700000e-01,1.615485e+00
1.750000e-01,1.601858e+00
1.800000e-01,1.587296e+00
1.850000e-01,1.571740e+00
1.900000e-01,1.555124e+00
1.950000e-01,1.537381e+00
2.000000e-01,1.518437e+00
2.050000e-01,1.500255e+00
2.100000e-01,1.482797e+00
2.150000e-01,1.466027e+00
2.200000e-01,1.449913e+00
2.250000e-01,1.434422e+00
2.300000e-01,1.419526e+00
2.350000e-01,1.405196e+00
2.400000e-01,1.391408e+00
2.450000e-01,1.378136e+00
2.500000e-01,1.365358e+00
2.550000e-01,1.353052e+00
2.600000e-01,1.341198e+00
2.650000e-01,1.329776e+00
2.700000e-01,1.318767e+00
2.750000e-01,1.308155e+00
2.800000e-01,1.297923e+00
2.850000e-01,1.288055e+00
2.900000e-01,1.278537e+00
2.950000e-01,1.269354e+00
3.000000e-01,1.260493e+00
3.050000e-01,1.251942e+00
3.100000e-01,1.243688e+00
3.150000e-01,1.235720e+00
3.200000e-01,1.228026e+00
3.250000e-01,1.220597e+00
3.300000e-01,1.213421e+00
3.350000e-01,1.206491e+00
3.400000e-01,1.199795e+00
3.450000e-01,1.193327e+00
