Iteration,Erreur
0,4.945550e-05
1,4.944435e-05
2,4.943320e-05
3,4.942206e-05
4,4.941092e-05
5,4.939978e-05
6,4.938865e-05
7,4.937751e-05
8,4.936638e-05
9,4.935526e-05
10,4.934413e-05
11,4.933301e-05
12,4.932189e-05
13,4.931077e-05
14,4.929965e-05
15,4.928854e-05
16,4.927743e-05
17,4.926632e-05
18,4.925521e-05
19,4.924411e-05
20,4.923301e-05
21,4.922191e-05
22,4.921081e-05
23,4.919972e-05
24,4.918862e-05
25,4.917753e-05
26,4.916645e-05
27,4.915536e-05
28,4.914428e-05
29,4.913320e-05
30,4.912212e-05
31,4.911105e-05
32,4.909998e-05
33,4.908891e-05
34,4.907784e-05
35,4.906678e-05
36,4.905571e-05
37,4.904465e-05
38,4.903359e-05
39,4.902254e-05
40,4.901149e-05
41,4.900044e-05
42,4.898939e-05
43,4.897834e-05
44,4.896730e-05
45,4.895626e-05
46,4.894522e-05
47,4.893419e-05
48,4.892315e-05
49,4.891212e-05
50,4.890109e-05
51,4.889007e-05
52,4.887904e-05
53,4.886802e-05
54,4.885700e-05
55,4.884599e-05
56,4.883497e-05
57,4.882396e-05
58,4.881295e-05
59,4.880194e-05
60,4.879094e-05
61,4.877994e-05
62,4.876894e-05
63,4.875794e-05
64,4.874695e-05
65,4.873595e-05
66,4.872496e-05
67,4.871398e-05
68,4.870299e-05
69,4.869201e-05
70,4.868103e-05
71,4.867005e-05
72,4.865908e-05
73,4.864810e-05
74,4.863713e-05
75,4.862616e-05
76,4.861520e-05
77,4.860423e-05
78,4.859327e-05
79,4.858232e-05
80,4.857136e-05
81,4.856041e-05
82,4.854945e-05
83,4.853850e-05
84,4.852756e-05
85,4.851661e-05
86,4.850567e-05
87,4.849473e-05
88,4.848380e-05
89,4.847286e-05
90,4.846193e-05
91,4.845100e-05
92,4.844007e-05
93,4.842915e-05
94,4.841822e-05
95,4.840730e-05
96,4.839638e-05
97,4.838547e-05
98,4.837456e-05
99,4.836365e-05
100,4.835274e-05
101,4.834183e-05
102,4.833093e-05
103,4.832003e-05
104,4.830913e-05
105,4.829823e-05
106,4.828734e-05
107,4.827644e-05
108,4.826555e-05
109,4.825467e-05
110,4.824378e-05
