x,u
0.000000e+00,1.773349e+00
1.000000e-02,1.773349e+00
2.000000e-02,1.772515e+00
3.000000e-02,1.770833e+00
4.000000e-02,1.768272e+00
5.000000e-02,1.764789e+00
6.000000e-02,1.760323e+00
7.000000e-02,1.754797e+00
8.000000e-02,1.748114e+00
9.000000e-02,1.740158e+00
1.000000e-01,1.730794e+00
1.100000e-01,1.719859e+00
1.200000e-01,1.707168e+00
1.300000e-01,1.692503e+00
1.400000e-01,1.675616e+00
1.500000e-01,1.656223e+00
1.600000e-01,1.633998e+00
1.700000e-01,1.608570e+00
1.800000e-01,1.579515e+00
1.900000e-01,1.546353e+00
2.000000e-01,1.508533e+00
2.100000e-01,1.473678e+00
2.200000e-01,1.441502e+00
2.300000e-01,1.411757e+00
2.400000e-01,1.384223e+00
2.500000e-01,1.358705e+00
2.600000e-01,1.335030e+00
2.700000e-01,1.313043e+00
2.800000e-01,1.292606e+00
2.900000e-01,1.273595e+00
3.000000e-01,1.255896e+00
3.100000e-01,1.239409e+00
3.200000e-01,1.224040e+00
3.300000e-01,1.209706e+00
3.400000e-01,1.196331e+00
3.500000e-01,1.183845e+00
3.600000e-01,1.172183e+00
3.700000e-01,1.161286e+00
3.800000e-01,1.151102e+00
3.900000e-01,1.141579e+00
4.000000e-01,1.132674e+00
4.100000e-01,1.124342e+00
4.200000e-01,1.116545e+00
4.300000e-01,1.109247e+00
4.400000e-01,1.102415e+00
4.500000e-01,1.096017e+00
4.600000e-01,1.090025e+00
4.700000e-01,1.084411e+00
4.800000e-01,1.079152e+00
4.900000e-01,1.074223e+00
5.000000e-01,1.069604e+00
5.100000e-01,1.065274e+00
5.200000e-01,1.061215e+00
5.300000e-01,1.057409e+00
5.400000e-01,1.053840e+00
5.500000e-01,1.050492e+00
5.600000e-01,1.047352e+00
5.700000e-01,1.044406e+00
5.800000e-01,1.041642e+00
5.900000e-01,1.039048e+00
6.000000e-01,1.036613e+00
6.100000e-01,1.034328e+00
6.200000e-01,1.032182e+00
6.300000e-01,1.030168e+00
6.400000e-01,1.028276e+00
6.500000e-01,1.026498e+00
6.600000e-01,1.024828e+00
6.700000e-01,1.023259e+00
6.800000e-01,1.021783e+00
6.900000e-01,1.020396e+00
7.000000e-01,1.019091e+00
7.100000e-01,1.017863e+00
7.200000e-01,1.016707e+00
7.300000e-01,1.015619e+00
7.400000e-01,1.014593e+00
7.500000e-01,1.013626e+00
7.600000e-01,1.012714e+00
7.700000e-01,1.011853e+00
7.800000e-01,1.011040e+00
7.900000e-01,1.010271e+00
8.000000e-01,1.009543e+00
8.100000e-01,1.008854e+00
8.200000e-01,1.008200e+00
8.300000e-01,1.007579e+00
8.400000e-01,1.006988e+00
8.500000e-01,1.006425e+00
8.600000e-01,1.005888e+00
8.700000e-01,1.005375e+00
8.800000e-01,1.004883e+00
8.900000e-01,1.004410e+00
9.000000e-01,1.003955e+00
9.100000e-01,1.003516e+00
9.200000e-01,1.003091e+00
9.300000e-01,1.002679e+00
9.400000e-01,1.002277e+00
9.500000e-01,1.001884e+00
9.600000e-01,1.001498e+00
9.700000e-01,1.001118e+00
9.800000e-01,1.000743e+00
9.900000e-01,1.000371e+00
1.000000e+00,1.000000e+00
